sms_opt_in_status,created_date,family_name,modified_date,blocked_date,person_id,user_id,given_name,address,number,postal_code
OPT_IN,2019-04-01 21:19:24,Siannodel,2022-09-26 10:28:49,,467354,474960,Jelenneth,jelenneth.siannodel@example.com,5555555555,10031
UNSPECIFIED,2019-03-12 19:24:00,Holimion,2022-09-23 12:40:25,,438678,445617,Adran,adran.holimion@example.com,5555555555,94530
UNSPECIFIED,2019-04-23 22:55:54,Ilphelkiir,2022-09-23 12:28:27,,507597,516527,Himo,himo.ilphelkiir@example.com,5555555555,22903
UNSPECIFIED,2019-04-25 20:51:46,Amastacia,2022-09-23 12:26:16,,510436,519512,Tharivol,tharivol.amastacia@example.com,5555555555,07302
UNSPECIFIED,2018-08-28 21:50:21,Meliamne,2022-09-25 14:44:23,,56206,59617,Leshanna,leshanna.meliamne@example.com,5555555555,67031
UNSPECIFIED,2018-02-22 18:13:59,Nailo,2022-09-23 11:55:38,,689,3288,Mindartis,mindartis.nailo@example.com,5555555555,06001
OPT_IN,2018-04-13 20:37:41,Ilphelkiir,2022-09-23 12:05:51,,6315,8364,Enna,enna.ilphelkiir@example.com,5555555555,94803
UNSPECIFIED,2018-03-08 18:59:40,Galanodel,2022-09-23 12:32:44,,1774,4560,Leshanna,leshanna.galanodel@example.com,5555555555,94803
UNSPECIFIED,2018-10-28 20:02:04,Siannodel,2022-09-23 12:43:49,,277630,283640,Soveliss,soveliss.siannodel@example.com,5555555555,38107
OPT_IN,2019-05-15 15:31:05,Xiloscient,2022-09-23 11:30:57,,539369,549105,Xanaphia,xanaphia.xiloscient@example.com,5555555555,10034
OPT_IN,2019-05-15 16:21:54,Amakir,2022-09-23 12:40:48,,539653,548614,Peren,peren.amakir@example.com,5555555555,87110
UNSPECIFIED,2018-07-19 23:43:50,Liadon,2022-09-23 12:25:36,,25392,28505,Laucian,laucian.liadon@example.com,5555555555,92865
OPT_IN,2018-10-15 15:23:14,Liadon,2022-09-23 11:37:13,,187589,193152,Erevan,erevan.liadon@example.com,5555555555,11226
UNSPECIFIED,2019-05-19 21:55:58,Ilphelkiir,2022-09-22 17:41:37,,546254,556080,Althaea,althaea.ilphelkiir@example.com,5555555555,11236
OPT_IN,2018-10-12 19:28:30,Siannodel,2022-09-23 12:59:20,,176261,181761,Rolen,rolen.siannodel@example.com,5555555555,94530
UNSPECIFIED,2019-05-14 16:18:23,Holimion,2022-09-23 12:44:06,,537933,547642,Vadania,vadania.holimion@example.com,5555555555,10002
UNSPECIFIED,2018-07-06 09:37:43,Siannodel,2022-09-23 11:38:53,,19597,23165,Enialis,enialis.siannodel@example.com,5555555555,20009
UNSPECIFIED,2018-08-23 14:44:38,Nailo,2022-09-23 13:19:20,,51695,54922,Birel,birel.nailo@example.com,5555555555,60040
OPT_IN,2018-10-08 12:56:08,Ilphelkiir,2022-09-23 13:23:44,,150744,155957,Felosial,felosial.ilphelkiir@example.com,5555555555,11226
UNSPECIFIED,2019-05-17 09:10:50,Ilphelkiir,2022-09-23 12:20:04,,542676,552465,Leshanna,leshanna.ilphelkiir@example.com,5555555555,02446
UNSPECIFIED,2019-08-10 15:12:00,Xiloscient,2022-09-22 21:24:37,,662684,676828,Drusilia,drusilia.xiloscient@example.com,5555555555,87102
UNSPECIFIED,2019-08-17 15:03:37,Meliamne,2022-09-22 19:25:46,,674087,688497,Valanthe,valanthe.meliamne@example.com,5555555555,96817
UNSPECIFIED,2019-08-17 19:40:05,Amastacia,2022-09-22 18:58:26,,674978,689385,Peren,peren.amastacia@example.com,5555555555,93001
OPT_IN,2019-08-13 23:49:43,Ilphelkiir,2022-09-22 18:58:56,,667098,681388,Xanaphia,xanaphia.ilphelkiir@example.com,5555555555,53220
UNSPECIFIED,2019-08-17 19:49:20,Liadon,2022-09-23 12:11:51,,674999,689406,Riardon,riardon.liadon@example.com,5555555555,85387
UNSPECIFIED,2019-04-08 17:12:49,Nailo,2022-09-23 12:09:03,,478556,486386,Beiro,beiro.nailo@example.com,5555555555,35801
UNSPECIFIED,2018-09-27 22:52:54,Holimion,2022-09-23 11:59:50,,115549,120320,Theirastra,theirastra.holimion@example.com,5555555555,06106
UNSPECIFIED,2019-08-13 18:11:37,Ilphelkiir,2022-09-23 13:05:44,,666529,680810,Birel,birel.ilphelkiir@example.com,5555555555,02130
UNSPECIFIED,2019-08-13 18:54:19,Ilphelkiir,2022-09-23 13:15:52,,666609,680891,Quelenna,quelenna.ilphelkiir@example.com,5555555555,20012
UNSPECIFIED,2019-08-13 17:31:16,Xiloscient,2022-09-22 20:25:19,,666418,680696,Antinua,antinua.xiloscient@example.com,5555555555,33426
